Year,Month,Senior,Adult,Young Adult,Teen,Youth,Family,Other
2013,1,1374,7,615,1534,998,2807,420
2013,11,1179,3,541,1097,798,2143,331
2013,9,1191,3,550,1121,819,2167,397
2013,8,1248,3,567,1319,925,2311,432
2013,6,1369,5,583,1556,986,2516,439
2013,3,1440,6,614,1623,1063,2739,424
2013,10,1182,3,545,1099,804,2148,356
2013,5,1402,5,596,1545,1000,2611,427
2013,4,1395,6,601,1577,1040,2669,418
2013,2,1398,7,621,1640,1038,2765,425
2013,7,1325,3,576,1492,993,2426,440
2013,12,1176,3,538,1096,790,2139,304
