mem num,reason for leaving
137034,Illness
136932,Illness
136618,Illness
136464,Illness
106972,Illness
111528,Illness
106780,Illness
105946,Illness
101004,Illness
99206,Illness
92442,Illness
87908,Illness
124360,Illness
123802,Illness
122290,Illness
120940,Illness
112084,Illness
82822,Illness
84108,Illness
107020,Illness
40450,Illness
66048,Injury
129200,Injury
99090,Injury
132254,Injury
144084,Injury
161998,Injury
164898,Injury
224284,Injury
216568,Injury
208174,Injury
203242,Injury
203136,Injury
199054,Injury
197234,Injury
164392,Injury
97244,Injury
224362,Injury
129518,Merged out of Family
155636,Merged out of Family
162352,Merged out of Family
226364,Merged out of Family
129818,Merged out of Family
206720,Merged out of Family
133692,Merged out of Family
129610,Merged out of Family
104050,Moving from Area
104172,Moving from Area
104174,Moving from Area
104242,Moving from Area
104660,Moving from Area
104186,Moving from Area
104692,Moving from Area
105504,Moving from Area
105522,Moving from Area
105724,Moving from Area
105712,Moving from Area
105346,Moving from Area
105344,Moving from Area
105314,Moving from Area
105308,Moving from Area
105388,Moving from Area
105368,Moving from Area
111058,Moving from Area
111056,Moving from Area
111052,Moving from Area
111136,Moving from Area
111100,Moving from Area
111090,Moving from Area
111186,Moving from Area
111198,Moving from Area
111188,Moving from Area
110960,Moving from Area
110956,Moving from Area
110952,Moving from Area
110940,Moving from Area
111012,Moving from Area
111000,Moving from Area
110994,Moving from Area
110984,Moving from Area
110972,Moving from Area
110884,Moving from Area
110882,Moving from Area
110880,Moving from Area
110870,Moving from Area
110858,Moving from Area
110924,Moving from Area
110916,Moving from Area
110966,Moving from Area
110962,Moving from Area
110970,Moving from Area
111042,Moving from Area
111038,Moving from Area
111030,Moving from Area
111026,Moving from Area
111014,Moving from Area
111084,Moving from Area
111060,Moving from Area
111268,Moving from Area
111606,Moving from Area
111582,Moving from Area
106094,Moving from Area
106090,Moving from Area
106066,Moving from Area
106008,Moving from Area
105972,Moving from Area
110796,Moving from Area
110792,Moving from Area
110790,Moving from Area
110786,Moving from Area
110854,Moving from Area
110852,Moving from Area
110844,Moving from Area
110834,Moving from Area
110828,Moving from Area
107354,Moving from Area
107382,Moving from Area
107552,Moving from Area
107590,Moving from Area
107558,Moving from Area
107924,Moving from Area
107904,Moving from Area
107948,Moving from Area
108032,Moving from Area
108012,Moving from Area
108084,Moving from Area
108062,Moving from Area
108126,Moving from Area
108090,Moving from Area
108168,Moving from Area
108166,Moving from Area
108142,Moving from Area
108132,Moving from Area
108208,Moving from Area
108308,Moving from Area
108300,Moving from Area
108298,Moving from Area
108360,Moving from Area
108404,Moving from Area
108390,Moving from Area
108428,Moving from Area
108484,Moving from Area
108604,Moving from Area
108632,Moving from Area
108688,Moving from Area
108768,Moving from Area
108808,Moving from Area
108838,Moving from Area
108826,Moving from Area
108898,Moving from Area
108946,Moving from Area
109002,Moving from Area
108986,Moving from Area
109012,Moving from Area
109082,Moving from Area
109234,Moving from Area
109332,Moving from Area
109366,Moving from Area
109364,Moving from Area
109484,Moving from Area
109462,Moving from Area
109460,Moving from Area
109456,Moving from Area
109532,Moving from Area
109564,Moving from Area
109548,Moving from Area
109626,Moving from Area
109664,Moving from Area
109760,Moving from Area
109754,Moving from Area
109738,Moving from Area
109788,Moving from Area
109834,Moving from Area
109912,Moving from Area
110040,Moving from Area
110034,Moving from Area
110030,Moving from Area
110090,Moving from Area
110074,Moving from Area
110054,Moving from Area
110112,Moving from Area
110110,Moving from Area
110180,Moving from Area
110158,Moving from Area
110152,Moving from Area
110274,Moving from Area
110272,Moving from Area
110252,Moving from Area
83600,Moving from Area
83578,Moving from Area
83536,Moving from Area
83370,Moving from Area
83258,Moving from Area
82824,Moving from Area
82494,Moving from Area
82456,Moving from Area
82296,Moving from Area
82078,Moving from Area
82036,Moving from Area
82034,Moving from Area
81976,Moving from Area
81944,Moving from Area
81794,Moving from Area
81778,Moving from Area
81692,Moving from Area
81644,Moving from Area
81384,Moving from Area
81354,Moving from Area
81208,Moving from Area
80206,Moving from Area
79834,Moving from Area
79694,Moving from Area
79490,Moving from Area
79478,Moving from Area
79436,Moving from Area
79346,Moving from Area
79306,Moving from Area
79016,Moving from Area
78988,Moving from Area
78930,Moving from Area
78656,Moving from Area
78622,Moving from Area
77778,Moving from Area
77708,Moving from Area
77706,Moving from Area
77078,Moving from Area
76922,Moving from Area
75910,Moving from Area
75822,Moving from Area
75730,Moving from Area
75444,Moving from Area
74944,Moving from Area
74858,Moving from Area
74830,Moving from Area
74524,Moving from Area
74312,Moving from Area
73918,Moving from Area
72998,Moving from Area
72972,Moving from Area
72970,Moving from Area
72888,Moving from Area
72636,Moving from Area
71854,Moving from Area
71826,Moving from Area
71386,Moving from Area
71348,Moving from Area
70830,Moving from Area
69764,Moving from Area
69722,Moving from Area
69580,Moving from Area
69500,Moving from Area
69176,Moving from Area
68468,Moving from Area
68300,Moving from Area
67700,Moving from Area
67284,Moving from Area
66346,Moving from Area
66280,Moving from Area
66020,Moving from Area
64158,Moving from Area
63372,Moving from Area
63206,Moving from Area
60624,Moving from Area
58946,Moving from Area
54386,Moving from Area
52308,Moving from Area
51988,Moving from Area
51142,Moving from Area
50432,Moving from Area
47408,Moving from Area
47028,Moving from Area
45422,Moving from Area
45364,Moving from Area
45092,Moving from Area
43024,Moving from Area
42952,Moving from Area
41650,Moving from Area
107098,Moving from Area
107074,Moving from Area
107162,Moving from Area
107156,Moving from Area
107306,Moving from Area
107300,Moving from Area
107298,Moving from Area
97170,Moving from Area
97048,Moving from Area
96920,Moving from Area
96738,Moving from Area
96654,Moving from Area
96636,Moving from Area
96624,Moving from Area
96594,Moving from Area
96590,Moving from Area
96582,Moving from Area
96568,Moving from Area
96550,Moving from Area
96464,Moving from Area
96438,Moving from Area
96396,Moving from Area
96394,Moving from Area
96374,Moving from Area
96372,Moving from Area
96362,Moving from Area
96314,Moving from Area
96290,Moving from Area
96224,Moving from Area
96152,Moving from Area
96134,Moving from Area
96132,Moving from Area
96124,Moving from Area
96106,Moving from Area
96098,Moving from Area
95748,Moving from Area
95720,Moving from Area
95664,Moving from Area
95594,Moving from Area
95446,Moving from Area
95436,Moving from Area
95288,Moving from Area
95122,Moving from Area
95110,Moving from Area
94924,Moving from Area
94698,Moving from Area
94486,Moving from Area
94366,Moving from Area
94334,Moving from Area
94262,Moving from Area
94226,Moving from Area
94196,Moving from Area
94182,Moving from Area
94172,Moving from Area
94040,Moving from Area
93926,Moving from Area
93922,Moving from Area
93880,Moving from Area
93626,Moving from Area
93588,Moving from Area
93552,Moving from Area
93528,Moving from Area
93524,Moving from Area
93396,Moving from Area
93384,Moving from Area
93286,Moving from Area
93248,Moving from Area
93034,Moving from Area
92892,Moving from Area
92536,Moving from Area
92262,Moving from Area
92256,Moving from Area
92202,Moving from Area
92062,Moving from Area
91978,Moving from Area
91938,Moving from Area
91772,Moving from Area
91694,Moving from Area
91604,Moving from Area
91556,Moving from Area
104594,Moving from Area
104590,Moving from Area
104574,Moving from Area
104566,Moving from Area
104552,Moving from Area
104466,Moving from Area
104460,Moving from Area
104382,Moving from Area
104308,Moving from Area
104300,Moving from Area
104296,Moving from Area
104230,Moving from Area
104222,Moving from Area
