mem num,zipcode
109740,48176
109754,48105
109754,48105
109754,48105
109754,48105
109754,48105
109754,48105
109768,48105
109768,48105
109768,48105
109768,48105
109768,48105
109768,48105
109770,48105
109770,48105
109770,48105
109770,48105
109770,48105
109770,48105
109774,48104
109774,48104
109774,48104
109774,48104
109776,43614
109778,48229
109778,48229
109790,48103
109790,48103
109790,48103
109790,48103
109790,48103
109790,48103
109792,48198
109792,48198
109792,48198
109792,48198
109792,48198
109804,48105
109804,48105
109804,48105
109804,48105
109804,48105
109804,48105
109806,48105
109806,48105
109806,48105
109806,48105
109806,48105
109806,48105
109812,48103
109812,48103
109812,48103
109812,48103
109812,48103
109812,48103
109814,48103
109814,48103
109814,48103
109814,48103
109814,48103
109814,48103
109816,48130
109816,48130
109816,48130
109816,48130
109816,48130
109816,48130
109816,48130
109820,48189
109820,48189
109820,48189
109820,48189
109822,48189
109822,48189
109822,48189
109822,48189
109824,48189
109824,48189
109824,48189
109824,48189
109826,48158
109826,48158
109826,48158
109826,48158
109830,48158
109830,48158
109830,48158
109830,48158
109834,48103
109834,48103
109834,48103
109834,48103
109834,48103
109834,48103
109840,48104
109840,48104
109840,48104
109840,48104
109842,48198
109842,48198
109842,48198
109842,48198
109842,48198
109848,0
109848,0
109850,0
109850,0
109852,48197
109852,48197
109852,48197
109852,48197
109852,48197
109852,48197
109856,48189
109856,48189
109856,48189
109856,48189
109858,48189
109858,48189
109858,48189
109858,48189
109860,48189
109860,48189
109860,48189
109860,48189
109862,48111
109862,48111
109862,48111
109862,48111
109864,49240
109878,48130
109878,48130
109878,48130
109878,48130
109878,48130
109878,48130
109878,48130
109884,48103
109884,48103
109884,48103
109884,48103
109884,48103
109884,48103
109886,48103
109886,48103
109886,48103
109886,48103
109886,48103
109886,48103
109888,49240
109586,48197
109586,48197
109586,48197
109586,48197
109586,48197
109586,48197
109596,48104
109596,48104
109596,48104
109596,48104
109598,48104
109598,48104
109598,48104
109598,48104
109604,48103
109604,48103
109604,48103
109604,48103
109604,48103
109604,48103
109606,48118
109606,48118
109606,48118
109606,48118
109606,48118
109606,48118
109606,48118
109610,48103
109610,48103
109610,48103
109610,48103
109610,48103
109610,48103
109614,48105
109614,48105
109614,48105
109614,48105
109614,48105
109614,48105
109616,48105
109616,48105
109616,48105
109616,48105
109616,48105
109616,48105
109618,48105
109618,48105
109618,48105
109618,48105
109618,48105
109618,48105
109620,48105
109620,48105
109620,48105
109620,48105
109620,48105
109620,48105
109624,48105
109624,48105
109624,48105
109624,48105
109624,48105
109624,48105
109628,48108
109632,48108
109638,48130
109638,48130
109638,48130
109638,48130
109638,48130
109638,48130
109638,48130
109644,48118
109644,48118
109644,48118
109644,48118
109644,48118
109644,48118
109644,48118
109646,48197
109646,48197
109646,48197
109646,48197
109646,48197
109646,48197
109658,48105
109658,48105
109658,48105
109658,48105
109658,48105
109658,48105
109666,48197
109666,48197
109666,48197
109666,48197
109666,48197
109666,48197
109674,48105
109674,48105
109674,48105
109674,48105
109674,48105
109674,48105
109678,48103
109678,48103
109678,48103
109678,48103
109678,48103
109678,48103
109680,48103
109680,48103
109680,48103
109680,48103
109680,48103
109680,48103
109688,48103
109688,48103
109688,48103
109688,48103
109688,48103
109688,48103
109690,48103
109690,48103
109690,48103
109690,48103
109690,48103
109690,48103
109692,48105
109692,48105
109692,48105
109692,48105
109692,48105
109692,48105
109698,48103
109698,48103
109698,48103
109698,48103
109698,48103
109698,48103
109702,48189
109702,48189
109702,48189
109702,48189
109734,48197
109734,48197
109734,48197
109734,48197
109734,48197
109734,48197
109736,48105
109736,48105
109736,48105
109736,48105
109736,48105
109736,48105
109436,48104
109436,48104
109436,48104
109436,48104
109440,48103
109440,48103
109440,48103
109440,48103
109440,48103
109440,48103
109442,48103
109442,48103
109442,48103
109442,48103
109442,48103
109442,48103
109444,48105
109444,48105
109444,48105
109444,48105
109444,48105
109444,48105
109450,48198
109450,48198
109450,48198
109450,48198
109450,48198
109452,48104
109452,48104
109452,48104
109452,48104
109456,48197
109456,48197
109456,48197
109456,48197
109456,48197
109456,48197
109458,48103
109458,48103
109458,48103
109458,48103
109458,48103
109458,48103
109460,48103
109460,48103
109460,48103
109460,48103
109460,48103
109460,48103
109464,48108
109466,48105
109466,48105
109466,48105
109466,48105
109466,48105
109466,48105
109470,48103
109470,48103
109470,48103
109470,48103
109470,48103
109470,48103
109472,48103
109472,48103
109472,48103
109472,48103
109472,48103
109472,48103
109474,48104
109474,48104
109474,48104
109474,48104
109476,48197
109476,48197
109476,48197
109476,48197
109476,48197
109476,48197
109482,48118
109482,48118
109482,48118
109482,48118
109482,48118
109482,48118
109482,48118
109484,48104
109484,48104
109484,48104
109484,48104
109486,48103
109486,48103
109486,48103
109486,48103
109486,48103
109486,48103
109490,48104
109490,48104
109490,48104
109490,48104
109492,48105
109492,48105
109492,48105
109492,48105
109492,48105
109492,48105
109494,48104
109494,48104
109494,48104
109494,48104
109498,48104
109498,48104
109498,48104
109498,48104
109500,48104
109500,48104
109500,48104
109500,48104
109508,48104
109508,48104
109508,48104
109508,48104
109510,48104
109510,48104
109510,48104
109510,48104
109512,48176
109514,48103
109514,48103
109514,48103
109514,48103
109514,48103
109514,48103
109520,6443
109526,48176
109528,48108
109530,48103
109530,48103
109530,48103
109530,48103
109530,48103
109530,48103
109532,48103
109532,48103
109532,48103
109532,48103
109532,48103
109532,48103
109536,481081926
109542,48105
109542,48105
109542,48105
109542,48105
109542,48105
109542,48105
109544,48105
109544,48105
109544,48105
109544,48105
109544,48105
109544,48105
109550,48198
109550,48198
109550,48198
109550,48198
109550,48198
109552,48108
109558,48105
109558,48105
109558,48105
109558,48105
109558,48105
109558,48105
109560,48104
109560,48104
109560,48104
109560,48104
109562,48103
109562,48103
109562,48103
109562,48103
109562,48103
109562,48103
109564,48108
109568,75063
109574,48105
109574,48105
109574,48105
109574,48105
109574,48105
109574,48105
109582,48118
109582,48118
109582,48118
109582,48118
109582,48118
109582,48118
109582,48118
109308,48197
109308,48197
109308,48197
109308,48197
109308,48197
109308,48197
109312,48103
109312,48103
109312,48103
109312,48103
109312,48103
109312,48103
109316,48103
109316,48103
109316,48103
109316,48103
109316,48103
109316,48103
109320,48197
109320,48197
109320,48197
109320,48197
109320,48197
109320,48197
109322,48197
109322,48197
109322,48197
109322,48197
109322,48197
109322,48197
109324,48104
109324,48104
109324,48104
109324,48104
109328,48105
109328,48105
109328,48105
109328,48105
109328,48105
109328,48105
109330,48103
109330,48103
109330,48103
109330,48103
109330,48103
109330,48103
109332,48104
109332,48104
109332,48104
109332,48104
109334,48169
109334,48169
109334,48169
109338,48103
109338,48103
109338,48103
109338,48103
109338,48103
109338,48103
109340,48103
109340,48103
109340,48103
109340,48103
109340,48103
109340,48103
109342,48103
109342,48103
109342,48103
109342,48103
109342,48103
109342,48103
109346,48104
109346,48104
109346,48104
109346,48104
109348,48104
109348,48104
109348,48104
109348,48104
109352,48103
109352,48103
109352,48103
109352,48103
109352,48103
109352,48103
109354,48103
109354,48103
109354,48103
109354,48103
109354,48103
109354,48103
109356,48104
109356,48104
109356,48104
109356,48104
109358,48104
109358,48104
109358,48104
109358,48104
109364,48105
109364,48105
109364,48105
109364,48105
109364,48105
109364,48105
109368,48103
109368,48103
109368,48103
109368,48103
109368,48103
109368,48103
109372,48108
109384,48104
109384,48104
109384,48104
109384,48104
109386,48103
109386,48103
109386,48103
109386,48103
109386,48103
109386,48103
109390,48103
109390,48103
109390,48103
109390,48103
109390,48103
109390,48103
109392,48197
109392,48197
109392,48197
109392,48197
109392,48197
109392,48197
109398,48197
109398,48197
109398,48197
109398,48197
109398,48197
109398,48197
109400,48104
109400,48104
109400,48104
109400,48104
109406,48103
109406,48103
109406,48103
109406,48103
109406,48103
109406,48103
109408,48197
109408,48197
109408,48197
109408,48197
109408,48197
109408,48197
109410,48104
109410,48104
109410,48104
109410,48104
109412,48104
109412,48104
109412,48104
109412,48104
109414,48104
109414,48104
109414,48104
109414,48104
109420,48198
109420,48198
109420,48198
109420,48198
109420,48198
109422,48197
109422,48197
109422,48197
109422,48197
109422,48197
109422,48197
109426,48105
109426,48105
109426,48105
109426,48105
109426,48105
109426,48105
109428,48105
109428,48105
109428,48105
109428,48105
109428,48105
109428,48105
109432,48105
109432,48105
109432,48105
109432,48105
109432,48105
109432,48105
109140,48108
109148,48197
109148,48197
109148,48197
109148,48197
109148,48197
109148,48197
109150,48103
109150,48103
109150,48103
109150,48103
109150,48103
109150,48103
109154,48103
109154,48103
109154,48103
109154,48103
109154,48103
109154,48103
109156,48103
109156,48103
109156,48103
109156,48103
109156,48103
109156,48103
109158,48103
109158,48103
109158,48103
109158,48103
109158,48103
109158,48103
109160,48103
109160,48103
109160,48103
109160,48103
109160,48103
109160,48103
109164,48108
109168,48104
109168,48104
109168,48104
109168,48104
109170,48104
109170,48104
109170,48104
109170,48104
109172,48103
109172,48103
109172,48103
109172,48103
109172,48103
109172,48103
109174,48130
109174,48130
109174,48130
109174,48130
109174,48130
109174,48130
109174,48130
109178,48103
109178,48103
109178,48103
109178,48103
109178,48103
109178,48103
109180,48114
109180,48114
109180,48114
109180,48114
109180,48114
109182,48103
109182,48103
109182,48103
109182,48103
109182,48103
109182,48103
109184,48198
